minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
5,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9922492776066065,0.007750722393393517,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
5,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9896657034754753,0.010334296524524689,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
5,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
6,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
6,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
6,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
6,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
6,Chelsea,0,0.1285114400088787,0.8765765492745541,0.11839710705732426,0.00496469805281057,6.164561531110033e-05,1.1102230246251565e-16,4': Shot by Marc Cucurella worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
7,Chelsea,0,0.19521429017186165,0.8648825184300251,0.12851165300349823,0.006477951049101425,0.00012705512972705543,8.223876483581804e-07,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
7,Chelsea,0,0.19521429017186165,0.853188487585496,0.1386261989496722,0.007991204045392278,0.00019246464414301052,1.6447752966053385e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
