,match_id,minute,h_a,xG,result,x,y,player,shot_type,last_action
0,28778,2,h,0.014601008035242558,SavedShot,0.7619999694824219,0.6990000152587891,Hugo Ekitike,RightFoot,Pass
1,28778,3,h,0.04265604913234711,SavedShot,0.855999984741211,0.3129999923706055,Mohamed Salah,LeftFoot,Pass
2,28778,4,h,0.25797542929649353,MissedShots,0.914000015258789,0.505,Virgil van Dijk,Head,Cross
3,28778,30,h,0.0776621475815773,SavedShot,0.9119999694824219,0.5320000076293945,Virgil van Dijk,Head,Cross
4,28778,36,h,0.40409132838249207,Goal,0.8909999847412109,0.524000015258789,Hugo Ekitike,RightFoot,TakeOn
5,28778,38,h,0.534849226474762,MissedShots,0.9419999694824219,0.4829999923706055,Hugo Ekitike,Head,Cross
6,28778,46,h,0.1347046047449112,MissedShots,0.960999984741211,0.5209999847412109,Hugo Ekitike,OtherBodyPart,Aerial
7,28778,47,h,0.11337560415267944,BlockedShot,0.85,0.42700000762939455,Mohamed Salah,LeftFoot,Pass
8,28778,48,h,0.0957067683339119,Goal,0.850999984741211,0.49200000762939455,Cody Gakpo,RightFoot,Pass
9,28778,51,h,0.027150798588991165,SavedShot,0.76,0.34799999237060547,Alexis Mac Allister,RightFoot,LayOff
10,28778,52,h,0.015647554770112038,BlockedShot,0.754000015258789,0.37200000762939456,Jeremie Frimpong,RightFoot,None
11,28778,53,h,0.014567305333912373,MissedShots,0.7090000152587891,0.5570000076293945,Dominik Szoboszlai,RightFoot,None
12,28778,62,h,0.11103862524032593,MissedShots,0.84,0.45799999237060546,Florian Wirtz,RightFoot,Pass
13,28778,69,h,0.03299751132726669,SavedShot,0.8519999694824218,0.7609999847412109,Cody Gakpo,RightFoot,Pass
14,28778,79,h,0.09390604496002197,MissedShots,0.855,0.4420000076293945,Dominik Szoboszlai,LeftFoot,Pass
15,28778,80,h,0.05117299035191536,SavedShot,0.865,0.33599998474121096,Dominik Szoboszlai,RightFoot,Pass
16,28778,87,h,0.07005230337381363,MissedShots,0.909000015258789,0.624000015258789,Cody Gakpo,RightFoot,None
17,28778,87,h,0.09901324659585953,Goal,0.8980000305175782,0.534000015258789,Federico Chiesa,RightFoot,None
18,28778,93,h,0.13890482485294342,Goal,0.899000015258789,0.6129999923706054,Mohamed Salah,RightFoot,BallRecovery
19,28778,5,a,0.3169209659099579,MissedShots,0.9080000305175782,0.44400001525878907,Antoine Semenyo,RightFoot,Cross
20,28778,9,a,0.071727454662323,MissedShots,0.9490000152587891,0.4109999847412109,Evanilson,Head,Cross
21,28778,34,a,0.35100075602531433,SavedShot,0.87,0.5209999847412109,Marcus Tavernier,RightFoot,Pass
22,28778,41,a,0.038630276918411255,BlockedShot,0.855,0.685,David Brooks,RightFoot,None
23,28778,46,a,0.045542508363723755,BlockedShot,0.75,0.315,Marcus Tavernier,LeftFoot,Standard
24,28778,48,a,0.09731415659189224,MissedShots,0.8769999694824219,0.6559999847412109,Evanilson,LeftFoot,Pass
25,28778,63,a,0.42599424719810486,Goal,0.9080000305175782,0.5129999923706055,Antoine Semenyo,LeftFoot,Cross
26,28778,70,a,0.07709097117185593,BlockedShot,0.8959999847412109,0.63,David Brooks,LeftFoot,TakeOn
27,28778,70,a,0.05321967601776123,MissedShots,0.9119999694824219,0.595,Evanilson,Head,Cross
28,28778,75,a,0.09559009969234467,Goal,0.825,0.4829999923706055,Antoine Semenyo,LeftFoot,Pass
29,28779,46,h,0.17516101896762848,SavedShot,0.9009999847412109,0.47299999237060547,Boubacar Kamara,Head,Aerial
30,28779,64,h,0.0799555703997612,SavedShot,0.8469999694824218,0.41700000762939454,Ollie Watkins,LeftFoot,Pass
31,28779,86,h,0.06348427385091782,SavedShot,0.894000015258789,0.265,Donyell Malen,RightFoot,Pass
32,28779,2,a,0.5098440051078796,SavedShot,0.8680000305175781,0.4329999923706055,Anthony Elanga,RightFoot,Throughball
33,28779,2,a,0.053771644830703735,BlockedShot,0.8469999694824218,0.6480000305175782,Anthony Gordon,RightFoot,BallRecovery
34,28779,7,a,0.020615313202142715,BlockedShot,0.8480000305175781,0.6170000076293946,Anthony Gordon,RightFoot,Aerial
35,28779,10,a,0.4054856300354004,MissedShots,0.93,0.47,Anthony Gordon,Head,Cross
36,28779,12,a,0.05925820395350456,MissedShots,0.9119999694824219,0.36200000762939455,Anthony Elanga,RightFoot,Cross
37,28779,15,a,0.023262882605195045,SavedShot,0.784000015258789,0.6129999923706054,Anthony Gordon,RightFoot,Pass
38,28779,26,a,0.07491640001535416,BlockedShot,0.8490000152587891,0.6509999847412109,Anthony Gordon,RightFoot,Pass
39,28779,27,a,0.014461319893598557,MissedShots,0.7380000305175781,0.34599998474121096,Fabian Schär,RightFoot,Pass
40,28779,67,a,0.02261822111904621,MissedShots,0.7630000305175781,0.455,Fabian Schär,RightFoot,Pass
41,28779,71,a,0.015197288244962692,BlockedShot,0.6769999694824219,0.5929999923706055,Anthony Gordon,RightFoot,Pass
42,28779,72,a,0.07132836431264877,BlockedShot,0.8980000305175782,0.6090000152587891,Harvey Barnes,RightFoot,Cross
43,28779,76,a,0.04700176417827606,BlockedShot,0.8019999694824219,0.46900001525878904,Harvey Barnes,RightFoot,Pass
44,28779,87,a,0.02660728245973587,MissedShots,0.825,0.685,Harvey Barnes,RightFoot,Pass
45,28779,90,a,0.010546272620558739,SavedShot,0.685,0.5109999847412109,Anthony Gordon,RightFoot,TakeOn
46,28779,93,a,0.040263328701257706,BlockedShot,0.835999984741211,0.31799999237060544,William Osula,LeftFoot,Pass
