minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
4,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.015981025993824005,0.984018974006176,0.015981025993824005,0.0,0.0,0.0,4': Shot by Ryan Christie worth 0.02 xG,LEDBOU20250927
5,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9773785385139765,0.02251361704906203,0.00010784443696152391,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
5,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9707381030217769,0.02904620810430005,0.00021568887392304782,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
5,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9640976675295774,0.03557879915953808,0.00032353331088457176,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
5,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9574572320373778,0.0421113902147761,0.00043137774784609564,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
5,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
6,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
6,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
6,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
6,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
6,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
7,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
7,Leeds,0,0.29511862993240356,0.7048813700675964,0.29511862993240356,0.0,0.0,0.0,0': Shot by Dominic Calvert-Lewin worth 0.3 xG,Bournemouth,0,0.049722425639629364,0.9508167965451783,0.048643981270014125,0.0005392221848076195,0.0,0.0,5': Shot by Ryan Christie worth 0.03 xG,LEDBOU20250927
